s_no,count,number,category,nature_of_call,location,language,datetime,unixepoch,notes
1,1,+91-9710624485,phishing,"Claims to be from LIC. Asks Questions about 'existing policy' in the pretext of verifying information.",Unknown,Tamil,_,_,_ 
2,1,+91-140-9807575,phishing,"Him: Sir, we're calling from the mobile phone company. Me: Which mobile phone company? Him: The one you are on. Me: Name it. Him: <hung-up>",Unknown,Hindi,2017-04-03T11:32:00+05:30,1491199580,_
